date,time,open,high,low,close
2024-04-03,06:00,1.0836584568023682,1.0840108394622803,1.0831888914108276,1.0836584568023682
2024-04-03,08:00,1.0771219730377197,1.0841283798217773,1.0770059823989868,1.0840108394622803
2024-04-03,10:00,1.0770059823989868,1.0781670808792114,1.0768898725509644,1.077818512916565
2024-04-03,13:00,1.077934741973877,1.0780508518218994,1.076658010482788,1.0773539543151855
2024-04-03,16:00,1.082602620124817,1.0837758779525757,1.08236825466156,1.0835410356521606
2024-04-03,18:00,1.0833063125610352,1.0840108394622803,1.0829542875289917,1.0838934183120728
2024-04-03,21:00,1.0770059823989868,1.0781670808792114,1.0768898725509644,1.0780508518218994
2024-04-03,00:00,1.077934741973877,1.0780508518218994,1.076658010482788,1.077934741973877
2024-04-04,06:00,1.0853049755096436,1.0853049755096436,1.0835410356521606,1.0840108394622803
2024-04-04,08:00,1.0840108394622803,1.0843634605407715,1.0837758779525757,1.0838934183120728
2024-04-04,10:00,1.084481120109558,1.0847163200378418,1.0841283798217773,1.0845986604690552
2024-04-04,13:00,1.0845986604690552,1.086130142211914,1.0842459201812744,1.0860122442245483
2024-04-04,16:00,1.087074637413025,1.087074637413025,1.086130142211914,1.0863661766052246
2024-04-04,18:00,1.086130142211914,1.0864840745925903,1.0835410356521606,1.0840108394622803
2024-04-04,21:00,1.084481120109558,1.0847163200378418,1.0841283798217773,1.084481120109558
2024-04-04,00:00,1.0845986604690552,1.0868383646011353,1.0842459201812744,1.0863661766052246
2024-04-05,06:00,1.0837758779525757,1.0841283798217773,1.0835410356521606,1.0841283798217773
2024-04-05,08:00,1.0840108394622803,1.0843634605407715,1.0838934183120728,1.0841283798217773
2024-04-05,10:00,1.0843634605407715,1.0845986604690552,1.0827198028564453,1.0829542875289917
2024-04-05,13:00,1.0829542875289917,1.0843634605407715,1.082602620124817,1.0843634605407715
2024-04-05,16:00,1.0820168256759644,1.0847163200378418,1.0820168256759644,1.0835410356521606
2024-04-05,18:00,1.0838934183120728,1.0841283798217773,1.0834236145019531,1.0840108394622803
2024-04-05,21:00,1.0843634605407715,1.0845986604690552,1.0827198028564453,1.0829542875289917
